cycles,stress,censoring
9.711E+00,324.51 ,1
2.806E+01,310.52 ,1
3.613E+01,284.22 ,1
1.060E+02,288.80 ,1
3.422E+02,285.32 ,1
3.694E+02,272.36 ,1
4.123E+02,270.42 ,1
4.248E+02,254.56 ,1
4.406E+02,276.94 ,1
6.709E+02,263.83 ,1
8.912E+02,229.24 ,1
1.134E+03,244.00 ,1
3.638E+03,205.46 ,1
3.973E+03,198.66 ,1
4.270E+03,179.83 ,1
5.118E+03,164.54 ,1
5.657E+03,197.04 ,1
5.908E+03,155.82 ,1
1.251E+04,140.30 ,1
1.308E+04,146.41 ,1
1.332E+04,134.77 ,1
4.326E+04,131.30 ,1
4.544E+04,103.87 ,1
4.962E+04,108.80 ,1
7.533E+04,99.97 ,1
9.329E+04,103.28 ,1
1.408E+05,83.21 ,1
1.464E+05,78.03 ,1
3.634E+05,79.20 ,1
4.018E+05,85.56 ,1
4.738E+05,60.63 ,1
7.300E+05,75.74 ,1
8.297E+05,71.16 ,1
1.386E+06,63.18 ,1
2.814E+06,64.29 ,1
7.156E+06,78.89 ,1
9.985E+06,45.57 ,0
1.001E+07,61.75 ,0
1.277E+07,60.55 ,0
1.836E+07,59.79 ,0
