"specimen","stress","cycles","censoring"
1,30,5.3,1
1,22.5,5.1,1
1,18,6.2,1
1,13.75,9.1,1
1,10.75,12.8,1
1,8.5,18.2,1
1,7.5,12,1
1,5.75,114,1
1,5.5,285,1
1,5.25,820,1
2,30,6.2,1
2,22.5,6.1,1
2,18,9.4,1
2,13.75,9.3,1
2,10.75,15.6,1
2,8.5,25,1
2,7.5,40,1
2,5.75,130,1
2,5.5,398,1
2,5.25,839,1
3,30,6.5,1
3,22.5,7,1
3,18,10,1
3,13.75,9.4,1
3,10.75,17.4,1
3,8.5,25.7,1
3,7.5,45,1
3,5.75,157,1
3,5.5,336,1
3,5.25,938,1
4,30,6.6,1
4,22.5,7.7,1
4,18,10,1
4,13.75,9.7,1
4,10.75,19,1
4,8.5,28.6,1
4,7.5,48,1
4,5.75,157,1
4,5.5,377,1
4,5.25,1024,1
5,30,7,1
5,22.5,8.6,1
5,18,10.2,1
5,13.75,14.5,1
5,10.75,19,1
5,8.5,29,1
5,7.5,62,1
5,5.75,159,1
5,5.5,380,1
5,5.25,1040,1
6,30,7.5,1
6,22.5,9,1
6,18,10.8,1
6,13.75,15.9,1
6,10.75,19.7,1
6,8.5,33.7,1
6,7.5,65,1
6,5.75,170,1
6,5.5,396,1
6,5.25,1048,1
7,30,8,1
7,22.5,9.1,1
7,18,11.3,1
7,13.75,16,1
7,10.75,20,1
7,8.5,35,1
7,7.5,65,1
7,5.75,180,1
7,5.5,427,1
7,5.25,1100,1
8,30,8.4,1
8,22.5,9.3,1
8,18,12.6,1
8,13.75,16.2,1
8,10.75,21,1
8,8.5,36.4,1
8,7.5,67,1
8,5.75,201,1
8,5.5,497,1
8,5.25,1103,1
9,30,8.7,1
9,22.5,9.6,1
9,18,12.8,1
9,13.75,17.9,1
9,10.75,21.3,1
9,8.5,39.9,1
9,7.5,70,1
9,5.75,205,1
9,5.5,510,1
9,5.25,1136,1
10,30,8.8,1
10,22.5,9.7,1
10,18,13.9,1
10,13.75,18.5,1
10,10.75,24.4,1
10,8.5,40,1
10,7.5,80,1
10,5.75,210,1
10,5.5,551,1
10,5.25,1145,1
11,30,9,1
11,22.5,9.7,1
11,18,14,1
11,13.75,19.8,1
11,10.75,25.1,1
11,8.5,40.7,1
11,7.5,81,1
11,5.75,230,1
11,5.5,560,1
11,5.25,1147,1
12,30,9.2,1
12,22.5,10.1,1
12,18,14.2,1
12,13.75,20.8,1
12,10.75,25.4,1
12,8.5,44,1
12,7.5,83,1
12,5.75,244,1
12,5.5,595,1
12,5.25,1150,1
13,30,9.2,1
13,22.5,10.3,1
13,18,14.3,1
13,13.75,21,1
13,10.75,26.7,1
13,8.5,45.1,1
13,7.5,88,1
13,5.75,250,1
13,5.5,617,1
13,5.25,1151,1
14,30,9.4,1
14,22.5,11.2,1
14,18,14.7,1
14,13.75,21.8,1
14,10.75,26.8,1
14,8.5,46,1
14,7.5,91,1
14,5.75,251,1
14,5.5,660,1
14,5.25,1163,1
15,30,9.5,1
15,22.5,11.5,1
15,18,15.1,1
15,13.75,22.1,1
15,10.75,26.9,1
15,8.5,46.1,1
15,7.5,92,1
15,5.75,257,1
15,5.5,668,1
15,5.25,1200,1
16,30,9.5,1
16,22.5,11.6,1
16,18,15.2,1
16,13.75,22.4,1
16,10.75,28.3,1
16,8.5,46.8,1
16,7.5,94,1
16,5.75,266,1
16,5.5,685,1
16,5.25,1210,1
17,30,9.8,1
17,22.5,12.3,1
17,18,16.6,1
17,13.75,22.4,1
17,10.75,28.5,1
17,8.5,48.7,1
17,7.5,95,1
17,5.75,273,1
17,5.5,714,1
17,5.25,1319,1
18,30,10,1
18,22.5,12.5,1
18,18,16.9,1
18,13.75,25.7,1
18,10.75,29.5,1
18,8.5,50,1
18,7.5,104,1
18,5.75,287,1
18,5.5,733,1
18,5.25,1320,1
19,30,10.5,1
19,22.5,13.4,1
19,18,17,1
19,13.75,25.8,1
19,10.75,30.9,1
19,8.5,54.3,1
19,7.5,108,1
19,5.75,296,1
19,5.5,849,1
19,5.25,1321,1
20,30,11.8,1
20,22.5,15.9,1
20,18,18.2,1
20,13.75,27.8,1
20,10.75,38.2,1
20,8.5,55.6,1
20,7.5,112,1
20,5.75,309,1
20,5.5,895,1
20,5.25,1630,1
