"stress","cycles","censoring"
27,4.8,1
22.5,8.8,1
19,15,1
16,18,1
13.5,31,1
11.7,45,1
10,72,1
9.25,104,1
8.25,172,1
7.25,423,1
27,6,1
22.5,9.8,1
19,16.6,1
16,21.2,1
13.5,38,1
11.7,45,1
10,83,1
9.25,110,1
8.25,226,1
7.25,439,1
27,7.6,1
22.5,11.6,1
19,16.6,1
16,24,1
13.5,43,1
11.7,46,1
10,93,1
9.25,137,1
8.25,229,1
7.25,441,1
27,8.7,1
22.5,12,1
19,16.7,1
16,25.2,1
13.5,44,1
11.7,57,1
10,95,1
9.25,149,1
8.25,253,1
7.25,509,1
27,9,1
22.5,12.2,1
19,18.5,1
16,26,1
13.5,45,1
11.7,62,1
10,102,1
9.25,151,1
8.25,286,1
7.25,571,1
27,9,1
22.5,13.2,1
19,18.6,1
16,26.2,1
13.5,45,1
11.7,63,1
10,103,1
9.25,163,1
8.25,290,1
7.25,616,1
27,9.8,1
22.5,14.4,1
19,19,1
16,28.1,1
13.5,46,1
11.7,64,1
10,105,1
9.25,164,1
8.25,303,1
7.25,648,1
27,10.3,1
22.5,15,1
19,19.9,1
16,29.7,1
13.5,47,1
11.7,68,1
10,108,1
9.25,166,1
8.25,312,1
7.25,664,1
27,10.5,1
22.5,15.1,1
19,20.3,1
16,32.4,1
13.5,48,1
11.7,68,1
10,112,1
9.25,171,1
8.25,318,1
7.25,685,1
27,10.8,1
22.5,16.9,1
19,20.5,1
16,32.8,1
13.5,49,1
11.7,70,1
10,113,1
9.25,174,1
8.25,325,1
7.25,689,1
27,12.2,1
22.5,17.4,1
19,21.3,1
16,34,1
13.5,54,1
11.7,72,1
10,115,1
9.25,179,1
8.25,328,1
7.25,767,1
27,12.4,1
22.5,17.8,1
19,21.8,1
16,34.1,1
13.5,54,1
11.7,73,1
10,117,1
9.25,184,1
8.25,332,1
7.25,842,1
27,12.4,1
22.5,18,1
19,22,1
16,34.3,1
13.5,56,1
11.7,75,1
10,121,1
9.25,189,1
8.25,340,1
7.25,886,1
27,13.6,1
22.5,18,1
19,24.3,1
16,35.1,1
13.5,58,1
11.7,75,1
10,126,1
9.25,190,1
8.25,342,1
7.25,910,1
27,13.9,1
22.5,18.7,1
19,24.5,1
16,38.8,1
13.5,60,1
11.7,81,1
10,127,1
9.25,208,1
8.25,343,1
7.25,978,1
27,14,1
22.5,21.7,1
19,25.5,1
16,39,1
13.5,60,1
11.7,82,1
10,128,1
9.25,208,1
8.25,347,1
7.25,1117,1
27,14.4,1
22.5,21.9,1
19,25.9,1
16,43,1
13.5,61,1
11.7,82,1
10,130,1
9.25,214,1
8.25,358,1
7.25,1135,1
27,15.3,1
22.5,22.4,1
19,26.3,1
16,46,1
13.5,64,1
11.7,85,1
10,131,1
9.25,216,1
8.25,373,1
7.25,1137,1
27,16.1,1
22.5,22.7,1
19,30.2,1
16,46.1,1
13.5,68,1
11.7,88,1
10,137,1
9.25,224,1
8.25,400,1
7.25,1192,1
27,18.8,1
22.5,24,1
19,30.6,1
16,46.4,1
13.5,81,1
11.7,97,1
10,151,1
9.25,238,1
8.25,431,1
7.25,1311,1
